frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
105,29,13.664086063765978 213.83210998160428 697.0856473512295 976.5354111649341,35.365264892578125 687.546875 289.81719970703125 786.0624389648438,0.7057525515556335,6440PU," "
106,29,12.667838525252023 222.6631820830209 718.4478971218546 966.2689548991088,75.70079040527344 683.0850219726562 329.31494140625 785.7760620117188,0.7317044138908386,64HOPU,0.13310598544384925
107,29,12.892258430000254 230.79543982875242 741.0499639173022 954.7788509747927,105.48898315429688 678.1434326171875 352.42950439453125 775.7825927734375,0.7396832704544067,6440PU,1.0
108,29,12.551332043159505 237.7423680481877 762.3080092428839 944.9557426512292,142.34197998046875 676.22119140625 380.366943359375 761.7952880859375,0.6852081418037415,6440PU,1.0
109,29,10.93645013202729 244.39108204435598 779.8264642819846 937.4965769791293,175.4788818359375 665.3319091796875 416.4017333984375 756.4613037109375,0.7115386128425598,6440PU,0.7784917304845466
110,29,9.830413959084808 248.27384334064192 797.443884817189 923.7055847260904,208.8391571044922 662.5523071289062 441.665771484375 748.5005493164062,0.6893142461776733,6440PU,1.0
111,29,18.55742932294072 254.2315434666312 822.419667153199 913.8199908502295,243.00860595703125 652.74951171875 469.66754150390625 744.88818359375,0.7039677500724792,6440PU,0.8943090813441006
112,29,36.91969233009195 258.53518172316274 846.0214793877473 907.1134425447016,274.8798828125 654.0708618164062 491.9111328125 733.0230102539062,0.6234531998634338,6440PU,1.0
113,29,61.85079464102199 262.12368083637983 868.902707428377 900.5257580434177,300.5205383300781 648.436767578125 521.23388671875 726.7642822265625,0.6900901794433594,6440PU,0.8612791411645895
114,29,87.105774006957 262.6650549431138 886.4966787674819 890.7288371259374,330.74267578125 645.2967529296875 537.32421875 722.4046630859375,0.7074654698371887,6440PU,0.9541920159467547
115,29,116.22055146805224 262.27396690948507 905.3309234075532 882.0989817682321,358.3370666503906 643.7618408203125 560.7394409179688 722.4129638671875,0.7144012451171875,6440PU,0.9760836770377534
116,29,146.2374964746083 261.1333581326333 922.4938806347053 873.3076428634222,386.2535705566406 643.7069702148438 586.2760620117188 719.3119506835938,0.6636455059051514,6440PU,0.7098142883698324
117,29,172.467244853949 260.35790056391056 936.822925965477 865.9212549146819,413.2065124511719 643.1322021484375 605.6508178710938 716.3282470703125,0.6765950322151184,6440PU,0.8584879529305113
118,29,199.1570988186822 258.4601561247939 949.6928679090054 856.7865980408155,434.57318115234375 641.5621337890625 624.9567260742188 710.0005493164062,0.683614194393158,6440PU,0.971487586460001
119,29,225.8675319094814 256.50421432617327 964.0578506035529 848.0447187421444,453.91485595703125 637.5556640625 646.465087890625 705.8666381835938,0.5930662155151367,6440PU,0.9495724846041929
120,29,252.86275479140414 257.08875704942864 978.0502057654417 841.5965930394185,473.1046142578125 632.44970703125 666.2221069335938 704.0926513671875,0.5601788759231567,64LOPU,0.5
121,29,273.6209588589803 264.2762737920035 987.389567036069 835.7362398922695,494.30645751953125 622.9402465820312 686.3623657226562 697.4392700195312,0.6418250203132629,64LOPU,0.5
122,29,298.6007049767065 276.6876806030885 999.0018530434768 832.1669705120912,520.396240234375 622.9715576171875 699.7205810546875 689.9854736328125,0.6245519518852234,64LDPU,0.19942082236421646
123,29,323.0318584275338 285.50171056997965 1009.991734284569 824.8294403423249,538.022216796875 620.8704833984375 719.6779174804688 685.1324462890625,0.5924503803253174,64LOPU,0.5
124,29,346.3851586295356 292.00082598986165 1021.659024344015 818.3460579707316,562.1245727539062 617.1692504882812 728.5862426757812 677.520263671875,0.6551653742790222,64LOPU,0.16386848883641797
125,29,370.8751034743289 297.43342788092167 1032.1280594284863 813.3865392990353,583.0257568359375 614.776611328125 748.302734375 677.5570068359375,0.6267504096031189,64LOPU,0.24049552399361274
126,29,394.5346005694133 301.51435882020917 1043.109922935209 807.1428807914498,594.19873046875 604.706787109375 768.3170166015625 673.4641723632812,0.6063107252120972,64LOPU,0.5
127,29,414.68894920779326 305.82926625325115 1050.868858284905 800.5381392160456,615.0291748046875 597.9799194335938 782.1970825195312 670.838623046875,0.6253629922866821,66LOPU,0.11997934746900855
128,29,435.166443061472 309.11525266894273 1060.8006487527632 795.3255777292095,632.749755859375 599.3148193359375 795.0704345703125 666.2041625976562,0.6280198693275452,64LOPU,0.5
129,29,456.5528776477295 310.5966182798535 1070.7885447235478 788.4835579862059,647.8917846679688 599.0482788085938 805.6246948242188 655.8389892578125,0.6335278153419495,64LOPU,0.5
130,29,475.3499012083314 313.24604709335665 1078.0171375649913 782.4904214710508,661.8902587890625 598.6170654296875 821.261962890625 656.314697265625,0.6558582186698914,64LOPU,0.5
131,29,493.8056007926321 316.5967023782205 1085.2080499417327 779.080433645353,675.0570068359375 598.0435180664062 838.2955322265625 654.933349609375,0.561962366104126,64LOPU,0.33576829569758315
132,29,512.0419259130479 319.4391415498526 1093.0612154332327 774.8678161052248,691.5250244140625 596.2962646484375 848.6947021484375 653.3383178710938,0.5924178957939148,64LOPV,0.5
133,29,529.4131355055071 322.1674316368037 1101.0547011540184 769.6701075756421,726.8092041015625 603.7498779296875 864.7230224609375 655.3603515625,0.4208301603794098,34LOPU,0.3818349542061466
134,29,548.0530387832437 325.14325263326396 1109.3016790490656 765.3987728247589,723.1953735351562 595.0792236328125 860.6270141601562 647.1355590820312,0.5785753726959229,6440PU,0.9954788684985605
135,29,564.2966977317253 326.9320820652864 1115.9964958964697 759.7205038255182,735.3775634765625 590.129638671875 887.7247924804688 649.1451416015625,0.47830942273139954,64LOPU,0.26715441309297905
136,29,579.092811705775 329.41622918708526 1122.5620838742952 755.603726452779,751.22705078125 591.700927734375 896.68408203125 645.0917358398438,0.5433829426765442,B4L0PV,0.1073725857104737
137,29,595.3946896919359 331.7577623173014 1129.3881375520496 751.6423525215183,769.496337890625 589.3518676757812 898.27880859375 637.7243041992188,0.4575437009334564,BL40PU,0.19218786266044752
138,29,610.5598946969824 333.97138997093566 1135.9608866671033 747.8540545634992,782.59130859375 587.66015625 911.984619140625 638.4596557617188,0.523871123790741,6L40PU,0.11442783355613903
139,29,626.0092292336794 336.1909781676911 1143.557306693371 743.8926645806187,791.3272705078125 586.198486328125 924.5057373046875 639.0510864257812,0.6304799914360046,64LOPU,0.3654178024351387
140,29,639.620646869362 338.9523154883974 1149.711427499849 740.5668164400819,805.0447998046875 586.3140869140625 937.6556396484375 636.4197998046875,0.4770439565181732,6440PU,0.6222153312241218
141,29,654.2552357308506 341.7293848418109 1156.1253603112864 737.4698422226899,817.08984375 583.5302734375 943.2550048828125 633.7447509765625,0.4990725517272949,6440RU,0.8305013492956814
142,29,666.7128525295992 343.55532288367453 1160.3049714678486 734.1485893683234,819.8025512695312 581.24609375 956.9518432617188 632.405029296875,0.47230005264282227,6440RU,0.6694504134925527
143,29,680.6157186392046 345.50175301852926 1165.5477009195097 731.5877228608493,827.65966796875 581.7154541015625 961.285888671875 631.30078125,0.3563498556613922,6440RU,0.8023405230440672
144,29,692.9165731726196 347.5693554957693 1170.092445704347 729.6049718828463,841.6268310546875 581.5673828125 971.8477783203125 630.6017456054688,0.4556463658809662,B44ORU,0.2179733117795322
145,29,705.9687555173168 349.41331589432053 1179.3895646138976 727.1700731254596,851.9862772623698 579.6685384114584 980.6834106445312 628.8836771647135,0,0,0
146,29,719.020937862014 351.2572762928717 1188.6866835234482 724.7351743680728,862.3457234700521 577.7696940104166 989.51904296875 627.1656087239584,0,0,0
147,29,732.0731202067112 353.10123669142297 1197.9838024329988 722.3002756106861,872.7051696777344 575.870849609375 998.3546752929688 625.4475402832031,0,0,0
148,29,745.1253025514085 354.9451970899742 1207.2809213425496 719.8653768532994,883.0646158854166 573.9720052083334 1007.1903076171875 623.7294718424479,0,0,0
149,29,758.1774848961056 356.7891574885254 1216.5780402521002 717.4304780959126,893.424062093099 572.0731608072916 1016.0259399414062 622.0114034016927,0,0,0
150,29,771.2296672408029 358.63311788707665 1225.8751591616508 714.9955793385259,903.7835083007812 570.17431640625 1024.861572265625 620.2933349609375,0.27669578790664673,6460RU,0.676319238994596
151,29,783.244518486304 360.05644755758965 1243.575718202576 712.3285647020983,910.4967956542969 566.7545776367188 1031.2022705078125 619.7611389160156,0,0,0
152,29,795.259369731805 361.47977722810265 1261.276277243501 709.6615500656708,917.2100830078125 563.3348388671875 1037.54296875 619.2289428710938,0.3698030114173889,6SL0RU,0.09616792275145732
153,29,802.1296674253916 363.5066622592411 1265.9128436449996 707.1759619403704,928.7108764648438 563.7351379394531 1044.5324096679688 617.3226013183594,0,0,0
154,29,808.9999651189783 365.53354729037954 1270.5494100464985 704.69037381507,940.211669921875 564.1354370117188 1051.5218505859375 615.416259765625,0.5509446859359741,64LORU,0.15291059711775443
155,29,815.6781298402141 367.0111800694968 1267.7559338539909 702.7730698855049,947.8683471679688 565.2753753662109 1057.48681640625 615.2189483642578,0,0,0
156,29,822.3562945614499 368.488812848614 1264.9624576614835 700.8557659559399,955.5250244140625 566.4153137207031 1063.4517822265625 615.0216369628906,0,0,0
157,29,829.0344592826857 369.9664456277312 1262.1689814689762 698.938462026375,963.1817016601562 567.5552520751953 1069.416748046875 614.8243255615234,0,0,0
158,29,835.7126240039215 371.44407840684846 1259.3755052764686 697.0211580968099,970.83837890625 568.6951904296875 1075.3817138671875 614.6270141601562,0.4919416606426239,64GOPU,0.04976169711037362
159,29,846.003709094287 373.35996727782344 1259.888095253626 695.0592329998099,980.4439086914062 568.177490234375 1085.2877197265625 614.1697387695312,0.5602691173553467,BE50RL,0.029726260910606494
160,29,855.5893899378543 374.4477806017035 1260.7570163126356 691.8985679322284,986.28515625 566.9309692382812 1092.6085815429688 612.1496276855469,0,0,0
161,29,865.1750707814215 375.5355939255836 1261.6259373716455 688.7379028646468,992.1264038085938 565.6844482421875 1099.929443359375 610.1295166015625,0.3505898416042328,BIC0PU,0.02115465556122198
334,126,13.956211007589559 200.16825180889123 769.3251134186081 1083.83761583579,48.78307342529297 766.2945556640625 322.2436828613281 897.3607177734375,0.7635080814361572,L244ZO,0.32577108217541345
335,126,13.048898926333038 208.79021304285334 782.3761928697306 1082.8794542910587,73.921875 765.4432983398438 351.9632568359375 894.2609252929688,0.7172335982322693,L244ZO,0.3538832277940092
336,126,13.383045427897116 212.74294443148938 797.7098707778175 1073.0956783166203,107.52110290527344 759.9404296875 376.5008239746094 886.270751953125,0.7681076526641846,L2HH7O,0.39243210546479956
337,126,14.577400720073513 216.76577318036 816.4651233772986 1064.0238992502263,129.26248168945312 760.4859008789062 396.43670654296875 879.6542358398438,0.7311457991600037,L2HH7O,0.4074532489991465
338,126,13.125398430746543 220.27119132032254 829.5318532651781 1053.3001166644456,163.33566284179688 753.6561279296875 424.7451171875 870.0972900390625,0.7433332800865173,L2HH7O,0.33199010148906766
339,126,12.195995094361422 225.0733205946911 841.7693724668759 1042.8496442779065,191.03228759765625 750.03955078125 441.9498596191406 857.354736328125,0.7258676886558533,LZ447O,0.31778876956934665
340,126,"17.571875696276352 234.36692142987292 857.1256610386603 1025.341706621707 ",221.44364404296876 746.0695190429688 466.77430725195314 845.9413645019532,,,
341,126,"22.947756298191284 243.66052267005475 872.4819496104447 1007.8337689655077 ",251.8549962768555 742.0994873046876 491.5987548828127 834.5279926757812,,,
342,126,"28.323636900106213 252.95412391023656 887.8382381822291 990.3258313093084 ",282.2663485107422 738.1294555664063 516.4232025146484 823.1146208496094,,,
343,126,"33.69951750202114 262.2477251504184 903.1945267540134 972.8178936531091 ",312.67770074462894 734.159423828125 541.2476501464844 811.7012490234376,,,
344,126,47.089438756884874 262.5123603680375 899.7908523517956 985.1159045616412,318.0030212402344 727.9745483398438 543.9661865234375 824.763427734375,0.765783965587616,LZHH70,0.43183981171673363
345,126,71.72682988433442 268.4175649904896 913.7972616410776 978.2880903763178,339.62025451660156 726.326904296875 562.0531616210938 820.3100280761719,0,0,0
346,126,96.36422101178397 274.3227696129418 927.8036709303597 971.4602761909944,361.23748779296875 724.6792602539062 580.14013671875 815.8566284179688,0.7173997163772583,L2HH7O,0.30035021976784215
347,126,123.15014363455185 279.89056957562576 940.5252530708433 962.9292425763606,379.3898010253906 724.40625 598.6514282226562 812.003173828125,0.7071307897567749,LZ447O,0.34830091798304336
348,126,148.17258895570723 285.32372420302397 951.2105842695153 952.1154811633409,405.4137268066406 721.258056640625 616.177734375 807.116943359375,0.7236731052398682,42HH70,0.5
349,126,173.13314944845172 288.78861933266325 961.455398710743 942.657338897154,419.64306640625 718.2406616210938 638.1093139648438 806.9879150390625,0.7236652970314026,LZ447O,0.5
350,126,195.330331332171 295.3847581893128 969.6435178359892 936.987665112236,439.763427734375 714.2162170410156 653.753662109375 803.2779235839844,0,0,0
351,126,217.52751321589028 301.9808970459623 977.8316369612354 931.3179913273179,459.8837890625 710.1917724609375 669.3980102539062 799.5679321289062,0.7268980145454407,LZ447Z,0.12328640354699491
352,126,240.1740071072246 307.7604007251246 987.7732871339862 925.0866295366718,479.1914978027344 708.5850219726562 681.8907470703125 794.6224365234375,0.701783299446106,L2HH7O,0.365576236335272
353,126,262.8379948603899 311.0599548368276 997.3141510954512 916.5924268442545,498.4768524169922 705.5592956542969 696.2772827148438 790.1585998535156,0,0,0
354,126,285.50198261355524 314.3595089485307 1006.8550150569162 908.0982241518373,517.76220703125 702.5335693359375 710.663818359375 785.6947631835938,0.7013616561889648,LZ4A7O,0.3066957103327328
355,126,305.86998715665624 317.6130020069897 1015.1813735373978 902.3180040121827,535.191650390625 700.3505859375 723.167724609375 781.4313354492188,0.7084048390388489,L2ZHH7,0.23128314200244038
356,126,325.1894386710002 320.6950695496638 1021.8969252949368 896.9305624391133,545.5317993164062 696.5961303710938 733.7039794921875 773.6737060546875,0.7194867730140686,LZ447O,0.1729003121538176
357,126,343.62602443777956 322.43589834662566 1029.2508562912085 889.7885842622092,561.5484008789062 693.3685607910156 746.498291015625 771.3262939453125,0,0,0
358,126,362.06261020455895 324.1767271435875 1036.6047872874803 882.646606085305,577.5650024414062 690.1409912109375 759.2926025390625 768.9788818359375,0.6963399648666382,42HH70,0.3379061426007566
359,126,379.5575448820918 327.3669116470088 1043.8087525487242 877.3843570287594,592.4044189453125 688.8544921875 776.107666015625 762.4271850585938,0.6834619641304016,E2HH7O,0.20597725865458388
360,126,396.7610861332528 330.6535670347503 1051.3697521752679 874.1023728384384,605.2535400390625 687.4598388671875 782.173095703125 757.5953979492188,0.630006730556488,L2HH7O,0.22599667202024243
361,126,413.68495933471974 333.7158814504658 1057.9242885430747 869.6809060761692,619.7179972330729 685.7141520182291 793.1822509765625 756.9534301757812,0,0,0
362,126,430.60883253618675 336.7781958661813 1064.4788249108815 865.2594393138999,634.1824544270834 683.9684651692709 804.19140625 756.3114624023438,0,0,0
363,126,447.5327057376537 339.8405102818968 1071.0333612786883 860.8379725516306,648.6469116210938 682.2227783203125 815.2005615234375 755.6694946289062,0.6887833476066589,LZ447O,0.34475553025024686
364,126,463.53611138678156 342.2415565485937 1077.7137764514669 856.5452400176571,660.5077514648438 679.2218017578125 831.0386352539062 751.195068359375,0.688675582408905,EZ44ZO,0.4112246520089766
365,126,480.03063093261136 345.445243234803 1086.3174638807466 853.8634076756646,672.8458251953125 676.1702270507812 836.776123046875 747.58154296875,0.7216669917106628,LZ44NO,0.18040916432178292
366,126,495.228372444536 348.99703805015713 1094.1192613176725 850.9087301609123,683.5986328125 673.708251953125 850.994384765625 746.8786010742188,0.6905282735824585,LZ447O,0.24717050186289857
367,126,509.03770650791563 351.4908357733895 1099.2162045260932 846.9164118814372,696.7273152669271 672.6996663411459 858.808837890625 741.4475911458334,0,0,0
368,126,522.8470405712952 353.98463349662194 1104.3131477345141 842.9240936019619,709.8559977213541 671.6910807291666 866.623291015625 736.0165812174479,0,0,0
369,126,536.6563746346749 356.4784312198543 1109.4100909429349 838.9317753224867,722.9846801757812 670.6824951171875 874.437744140625 730.5855712890625,0.6798949837684631,L2HH7O,0.3230067626498376
370,126,549.1963852153802 358.613468510909 1114.6117842623619 835.0647010827083,732.90576171875 669.8635864257812 884.8433532714844 730.5836181640625,0,0,0
371,126,561.7363957960856 360.74850580196363 1119.813477581789 831.1976268429298,742.8268432617188 669.044677734375 895.2489624023438 730.5816650390625,0.7008102536201477,L2HH7O,0.2520422380450053
372,126,576.1523687954048 364.297533765547 1126.2759236392149 828.5130414448046,757.4581298828125 668.0418701171875 898.8521728515625 729.820556640625,0.6726335287094116,LZ447O,0.15895494081271871
373,126,588.7922680033628 367.39432042577425 1131.9637676468801 826.1013832675895,767.300537109375 668.6328125 911.145263671875 728.046875,0.6036742329597473,LZ447O,0.3210062883996967
374,126,600.0051902988789 369.8285794091381 1136.341012430674 824.0986542815821,774.5915222167969 670.0718994140625 919.4151306152344 728.4486083984375,0,0,0
375,126,611.218112594395 372.262838392502 1140.718257214468 822.0959252955746,781.8825073242188 671.510986328125 927.6849975585938 728.850341796875,0.5221741199493408,L2HH7O,0.2893394158513592
376,126,623.1638893819087 375.0898536620319 1145.8696823201235 819.3261609253213,791.710693359375 668.9921569824219 936.2332763671875 728.2093505859375,0,0,0
377,126,635.1096661694223 377.9168689315618 1151.021107425779 816.556396555068,801.5388793945312 666.4733276367188 944.7815551757812 727.568359375,0.5413536429405212,LZ447O,0.2957751941000915
378,126,645.9835023914914 380.2728245521589 1155.7310204931355 813.9059334945913,810.9042663574219 664.1806640625 951.1966552734375 724.0671691894531,0,0,0
379,126,656.8573386135604 382.628780172756 1160.4409335604917 811.2554704341146,820.2696533203125 661.8880004882812 957.6117553710938 720.5659790039062,0.6347423195838928,L2HH7O,0.21238631304837358
380,126,668.8327934422518 384.2770314281173 1166.5848098955187 807.4471506820756,832.7103881835938 661.53466796875 962.35400390625 722.514892578125,0.6052286028862,42HH70,0.4541376812277053
381,126,678.8274553969902 385.3829079282357 1170.8799438777148 803.5647907857772,835.27001953125 657.9620971679688 972.2138671875 721.4127807617188,0.5876491665840149,EZ447O,0.24829056611941538
382,126,687.9218097330652 386.711123127271 1174.4984339224632 800.3957531819291,844.7330932617188 658.6124877929688 978.8699340820312 719.0962524414062,0.6897357702255249,L2HH7O,0.36444613878096693
383,126,698.0548637151536 389.0549210547896 1179.532678083014 797.7806371681141,855.9098510742188 660.0806884765625 980.8939819335938 718.6429443359375,0.6922473907470703,EZ447O,0.1993854128257634
384,126,706.4714203625922 391.4321217086017 1182.7924079822478 795.9485123613438,863.224853515625 651.932373046875 994.3778076171875 712.305908203125,0.6862400770187378,EZ447O,0.18525340755260186
385,126,716.6005902372726 394.3783795501307 1186.665089221758 794.7355677358638,869.1776733398438 652.80712890625 1000.374755859375 712.9197998046875,0.6649108529090881,L2HH7O,0.35442533988740593
386,126,725.2086098490755 396.20653443226354 1189.7457519044312 792.2151325654017,878.0758666992188 651.5224609375 1005.6968383789062 710.97021484375,0,0,0
387,126,733.8166294608783 398.03468931439636 1192.8264145871042 789.6946973949398,886.9740600585938 650.23779296875 1011.0189208984375 709.0206298828125,0,0,0
388,126,742.4246490726812 399.8628441965292 1195.9070772697773 787.1742622244777,895.8722534179688 648.953125 1016.3410034179688 707.071044921875,0.6651443839073181,L244ZO,0.3739063762791166
389,126,750.4881531696822 402.89388314805336 1199.013973338216 786.6521665166674,899.359130859375 650.920654296875 1021.3341064453125 707.0325927734375,0.5731927156448364,LZ447O,0.5
584,204,9.106675624701268 302.2834681192851 703.3676086775004 1057.4114574831624,23.7930908203125 601.9003295898438 296.74517822265625 714.7579345703125,0.6091604828834534,9L43NA,0.5
585,204,9.014563903313103 307.1470493089327 719.8746332286576 1051.334987726225,55.205108642578125 599.6821899414062 314.44384765625 709.4959106445312,0.6824179291725159,9L43NA,0.28886514010496844
586,204,8.20654662377433 311.61635770446577 734.7540124393262 1043.7494180269475,77.45292663574219 591.926513671875 345.92999267578125 711.9169921875,0.6989865899085999,9LL3NA,0.5
587,204,7.630950685733865 315.3442403087791 748.2541171970478 1036.003461583776,102.86531066894531 591.0151977539062 366.8262634277344 708.84130859375,0.7307990193367004,9LL3NA,0.4740411645941226
588,204,7.832643831465816 320.5460301209272 763.0912388106472 1031.112852437303,125.80293273925781 588.97314453125 386.303466796875 701.025390625,0.6534987688064575,9LL3NA,0.5
589,204,7.242366459965751 323.2052205642651 776.0147057362672 1023.4826609894224,154.97291564941406 586.8231811523438 401.6146545410156 698.6934814453125,0.6735955476760864,94L3NA,0.43206557166628395
590,204,6.704559427095262 325.64745839852924 788.7402954761626 1014.3843184425363,176.16595458984375 590.1176147460938 416.7989501953125 686.9133911132812,0.6940370798110962,94L3NA,0.3590397473795102
591,204,6.594167421825205 329.46461880697353 801.7168323494252 1006.4283876504071,196.4296875 584.10302734375 443.78692626953125 690.196533203125,0.679670512676239,9L43NA,0.4198539030396294
